Freq.	V(vout+)-V(vout-)
7.07945784384133e-002	(-5.14915507512912e-001dB,-1.48016364530117e+002°)
7.24435960074985e-002	(-4.59726365962120e-001dB,-1.48606063919568e+002°)
7.41310241300913e-002	(-4.06358272251935e-001dB,-1.49189587668065e+002°)
7.58577575029179e-002	(-3.54772544620371e-001dB,-1.49766760961392e+002°)
7.76247116628687e-002	(-3.04929891765577e-001dB,-1.50337421250850e+002°)
7.94328234724276e-002	(-2.56790520839852e-001dB,-1.50901418214104e+002°)
8.12830516164094e-002	(-2.10314242481377e-001dB,-1.51458613671499e+002°)
8.31763771102666e-002	(-1.65460572458211e-001dB,-1.52008881460656e+002°)
8.51138038202371e-002	(-1.22188829552499e-001dB,-1.52552107272354e+002°)
8.70963589956075e-002	(-8.04582293654296e-002dB,-1.53088188450755e+002°)
8.91250938133740e-002	(-4.02279737759012e-002dB,-1.53617033761137e+002°)
9.12010839355904e-002	(-1.45733583667832e-003dB,-1.54138563128299e+002°)
9.33254300796985e-002	(3.58942600593114e-002dB,-1.54652707348807e+002°)
9.54992586021430e-002	(7.18671628630451e-002dB,-1.55159407780220e+002°)
9.77237220955804e-002	(1.06501424480553e-001dB,-1.55658616010370e+002°)
9.99999999999993e-002	(1.39836734346741e-001dB,-1.56150293509666e+002°)
1.02329299228075e-001	(1.71912358959778e-001dB,-1.56634411269306e+002°)
1.04712854805089e-001	(2.02767086339348e-001dB,-1.57110949428159e+002°)
